date,pm25,pm10,o3,no2,so2,co
9/16/2023,18,12,4,2,5,2
9/15/2023,11,11,26,3,4,3
9/14/2023,9,7,38,3,4,3
9/13/2023,13,6,13,3,4,3
9/12/2023,63,9,26,3,4,2
9/11/2023,38,39,27,4,4,3
9/10/2023,22,24,19,3,4,3
9/9/2023,20,14,1,2,4,3
9/8/2023,22,13,21,3,4,3
9/7/2023,40,14,15,2,4,2
9/6/2023,33,25,5,3,4,3
9/5/2023,17,20,22,3,4,3
9/4/2023,22,11,9,4,4,3
9/3/2023,48,13,34,3,4,2
9/2/2023,32,29,31,3,5,3
9/1/2023,43,19,17,3,5,2
8/31/2023,42,26,3,5,5,3
8/30/2023,19,25,10,4,4,3
8/29/2023,22,12,22,3,4,3
8/28/2023,13,14,22,4,4,4
8/27/2023,27,9,29,3,3,3
8/26/2023,18,17,3,3,3,3
8/25/2023,16,11,18,2,3,1
8/24/2023,19,9,12,2,3,2
8/23/2023,45,12,36,3,3,2
8/22/2023,26,29,1,3,3,2
8/21/2023,38,16,26,3,3,3
8/20/2023,34,24,29,3,4,2
8/19/2023,22,22,8,3,3,3
8/18/2023,23,14,22,3,3,2
8/17/2023,39,15,1,2,3,1
8/16/2023,37,24,1,3,3,2
8/15/2023,17,23,9,3,3,2
8/14/2023,29,11,19,3,3,2
8/13/2023,26,17,37,3,3,2
8/12/2023,14,16,22,3,3,2
8/11/2023,37,9,1,3,3,2
8/10/2023,22,24,16,4,3,2
8/9/2023,19,14,1,3,3,3
8/8/2023,24,12,16,3,3,2
8/7/2023,30,15,3,3,3,3
8/6/2023,22,20,10,3,3,3
8/5/2023,10,14,10,2,3,3
8/4/2023,15,6,19,2,3,2
8/3/2023,21,10,23,3,3,2
8/2/2023,23,14,18,2,3,2
8/1/2023,22,14,35,2,3,2
7/31/2023,18,14,28,3,3,2
7/30/2023,31,12,20,4,2,2
7/29/2023,17,20,1,2,2,2
7/28/2023,17,11,1,3,2,2
7/27/2023,26,11,14,3,3,2
7/26/2023,24,16,33,4,3,2
7/25/2023,16,15,15,3,2,1
7/24/2023,15,10,11,4,2,2
7/23/2023,13,9,29,4,2,1
7/22/2023,32,9,8,3,2,1
7/21/2023,37,20,6,3,2,2
7/20/2023,30,23,50,4,2,3
7/19/2023,21,19,1,4,3,3
7/18/2023,28,14,15,4,3,2
7/17/2023,32,17,20,4,3,2
7/16/2023,25,21,16,5,3,3
7/15/2023,13,16,1,3,2,2
7/14/2023,22,9,22,4,3,2
7/13/2023,17,13,39,3,2,2
7/12/2023,13,11,12,2,2,1
7/11/2023,13,8,14,3,2,2
7/10/2023,13,8,12,3,2,1
7/9/2023,11,8,4,3,2,2
7/8/2023,16,7,36,3,2,1
7/7/2023,13,11,24,2,2,1
7/6/2023,13,9,23,2,2,1
7/5/2023,16,8,23,3,2,2
7/4/2023,13,10,16,3,2,2
7/3/2023,19,8,1,2,2,2
7/2/2023,24,12,18,2,2,1
7/1/2023,25,15,26,2,2,1
6/30/2023,22,16,29,2,2,1
6/29/2023,15,14,24,2,2,1
6/28/2023,17,10,18,2,2,1
6/27/2023,26,11,34,3,2,1
6/26/2023,16,16,1,3,2,2
6/25/2023,4,10,15,3,2,3
6/24/2023,13,3,8,2,2,2
6/23/2023,15,8,1,2,2,2
6/22/2023,25,9,26,2,2,2
6/21/2023,14,16,12,4,2,3
6/20/2023,27,9,1,3,2,2
6/19/2023,20,17,8,3,1,3
6/18/2023,15,13,1,5,2,4
6/17/2023,21,9,16,3,2,2
6/16/2023,18,14,8,3,1,1
6/15/2023,18,11,2,9,1,3
6/14/2023,11,11,24,8,1,3
6/13/2023,18,7,12,7,1,2
6/12/2023,45,11,14,9,2,3
6/11/2023,52,28,10,12,1,5
6/10/2023,22,31,39,14,15,8
6/9/2023,15,14,1,14,11,8
6/8/2023,59,10,33,14,1,7
6/7/2023,23,35,4,14,17,6
6/6/2023,30,14,25,14,21,7
6/5/2023,25,19,23,14,1,6
6/4/2023,29,16,13,14,2,6
6/3/2023,17,18,19,14,12,6
6/2/2023,28,10,11,14,16,5
6/1/2023,55,18,11,14,5,6
5/31/2023,52,33,24,14,6,6
5/30/2023,43,32,5,14,10,7
5/29/2023,29,27,12,14,24,7
5/28/2023,26,18,45,14,3,6
5/27/2023,21,17,2,14,3,5
5/26/2023,17,13,17,14,1,7
5/25/2023,25,11,8,14,1,6
5/24/2023,41,16,1,14,10,6
5/23/2023,62,26,12,14,7,6
5/22/2023,52,39,46,14,18,6
5/21/2023,53,33,33,14,8,7
5/20/2023,58,34,19,14,8,7
5/19/2023,58,37,3,14,16,7
5/18/2023,47,36,14,14,1,8
5/17/2023,41,30,14,14,1,10
5/16/2023,43,27,17,14,4,9
5/15/2023,24,27,19,14,9,7
5/14/2023,16,15,9,14,9,8
5/13/2023,15,11,23,14,26,8
